Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
Toronto Building,BL-Building Permission & Information,Building Permits,Other Expenditures,650A,Expenses,142658.68
Toronto Building,BL-Building Permission & Information,Building Permits,Salaries And Benefits,100A,Expenses,18855007.73
Toronto Building,BL-Building Permission & Information,Building Permits,Service And Rent,400A,Expenses,407203.9
Toronto Building,BL-Building Permission & Information,Building Permits,Sundry and Other Revenues,940A,Revenues,-14320.0
Toronto Building,BL-Building Permission & Information,Building Permits,Transfers From Capital,920A,Revenues,-153682.26
Toronto Building,BL-Building Permission & Information,Building Permits,User Fees & Donations,850A,Revenues,-583164.0
Toronto Building,BL-Building Permission & Information,Preliminary Review,Contribution From Reserves/Reserve Funds,930A,Revenues,-9313.71
Toronto Building,BL-Building Permission & Information,Preliminary Review,Contribution To Reserves/Reserve Funds,510A,Expenses,376018.53
Toronto Building,BL-Building Permission & Information,Preliminary Review,Equipment,300A,Expenses,31921.91
Toronto Building,BL-Building Permission & Information,Preliminary Review,Inter-Divisional Charges,700A,Expenses,78315.13
Toronto Building,BL-Building Permission & Information,Preliminary Review,Inter-Divisional Recoveries,750A,Revenues,-94864.49
Toronto Building,BL-Building Permission & Information,Preliminary Review,Licences & Permits Revenue,860A,Revenues,-5155338.98
Toronto Building,BL-Building Permission & Information,Preliminary Review,Materials & Supplies,200A,Expenses,12995.21
Toronto Building,BL-Building Permission & Information,Preliminary Review,Other Expenditures,650A,Expenses,33871.5
Toronto Building,BL-Building Permission & Information,Preliminary Review,Salaries And Benefits,100A,Expenses,4046739.72
Toronto Building,BL-Building Permission & Information,Preliminary Review,Service And Rent,400A,Expenses,96685.72
Toronto Building,BL-Building Permission & Information,Preliminary Review,Sundry and Other Revenues,940A,Revenues,-3400.06
Toronto Building,BL-Building Permission & Information,Preliminary Review,Transfers From Capital,920A,Revenues,-38102.76
Toronto Building,BL-Building Permission & Information,Preliminary Review,User Fees & Donations,850A,Revenues,-138461.0
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Contribution From Reserves/Reserve Funds,930A,Revenues,-7126.97
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Contribution To Reserves/Reserve Funds,510A,Expenses,47010.45
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Equipment,300A,Expenses,88.91
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Inter-Divisional Charges,700A,Expenses,45026.89
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Inter-Divisional Recoveries,750A,Revenues,-4766.06
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Materials & Supplies,200A,Expenses,80586.3
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Provincial Subsidies,805A,Revenues,-1283604.2
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Salaries And Benefits,100A,Expenses,3034584.53
Toronto Employment & Social Services,SS-Employment Services,Develop and implement integrated employment strategies,Service And Rent,400A,Expenses,-1094958.1
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution From Reserves/Reserve Funds,930A,Revenues,-1661596.53
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Contribution To Reserves/Reserve Funds,510A,Expenses,130648.87
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Equipment,300A,Expenses,41098.31
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Inter-Divisional Charges,700A,Expenses,454753.82
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Inter-Divisional Recoveries,750A,Revenues,-62099.55
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Materials & Supplies,200A,Expenses,250182.9
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Other Expenditures,650A,Expenses,10200000.0
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Provincial Subsidies,805A,Revenues,-49148635.86
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Salaries And Benefits,100A,Expenses,31704184.61
Toronto Employment & Social Services,SS-Employment Services,Plan and manage employment and career services,Service And Rent,400A,Expenses,25634087.85
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Contribution From Reserves/Reserve Funds,930A,Revenues,-12862092.21
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Contribution To Reserves/Reserve Funds,510A,Expenses,4773573.71
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Equipment,300A,Expenses,20107.5
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Inter-Divisional Charges,700A,Expenses,15870577.34
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Inter-Divisional Recoveries,750A,Revenues,-39792.07
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Materials & Supplies,200A,Expenses,13192582.08
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Other Expenditures,650A,Expenses,772613295.38
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Provincial Subsidies,805A,Revenues,-794945126.79
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Salaries And Benefits,100A,Expenses,26931908.29
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Service And Rent,400A,Expenses,60921501.7
Toronto Employment & Social Services,SS-Financial Supports,Financial and employment benefits administration,Sundry and Other Revenues,940A,Revenues,-17800000.0
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution From Reserves/Reserve Funds,930A,Revenues,-1542696.93
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Contribution To Reserves/Reserve Funds,510A,Expenses,378659.24
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Equipment,300A,Expenses,103982.26
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Inter-Divisional Charges,700A,Expenses,854132.88
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Inter-Divisional Recoveries,750A,Revenues,-126906.12
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Materials & Supplies,200A,Expenses,479618.38
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Provincial Subsidies,805A,Revenues,-24044000.36
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Salaries And Benefits,100A,Expenses,59570828.16
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Eligibility determination and case management,Service And Rent,400A,Expenses,-23195515.15
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution From Reserves/Reserve Funds,930A,Revenues,-3069805.92
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Contribution To Reserves/Reserve Funds,510A,Expenses,305305.18
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Equipment,300A,Expenses,116041.03
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Inter-Divisional Charges,700A,Expenses,1007232.32
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Inter-Divisional Recoveries,750A,Revenues,-162822.29
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Materials & Supplies,200A,Expenses,294356.54
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Provincial Subsidies,805A,Revenues,-56375487.08
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Salaries And Benefits,100A,Expenses,70856635.35
Toronto Employment & Social Services,SS-Integrated Case Management and Service Planning,Provide Individualized Employment Service Planning,Service And Rent,400A,Expenses,27989949.76
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Contribution To Capital,505A,Expenses,4536.0
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Contribution To Reserves/Reserve Funds,510A,Expenses,25653.89
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Equipment,300A,Expenses,12576.57
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Inter-Divisional Charges,700A,Expenses,95765.69
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Inter-Divisional Recoveries,750A,Revenues,-402876.07
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Materials & Supplies,200A,Expenses,243925.5
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Provincial Subsidies,805A,Revenues,-573975.12
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Salaries And Benefits,100A,Expenses,1062448.9
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Service And Rent,400A,Expenses,411943.21
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Sundry and Other Revenues,940A,Revenues,-15045.01
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,Transfers From Capital,920A,Revenues,-900.0
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Citizen First Response Education,User Fees & Donations,850A,Revenues,-507431.3
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Contribution To Capital,505A,Expenses,756.0
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Contribution To Reserves/Reserve Funds,510A,Expenses,70104.98
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Equipment,300A,Expenses,4586.17
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Inter-Divisional Charges,700A,Expenses,41413.74
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Inter-Divisional Recoveries,750A,Revenues,-582.77
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Materials & Supplies,200A,Expenses,25132.37
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Provincial Subsidies,805A,Revenues,-322712.08
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Salaries And Benefits,100A,Expenses,512868.37
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Service And Rent,400A,Expenses,20435.83
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Sundry and Other Revenues,940A,Revenues,-3397.06
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,Transfers From Capital,920A,Revenues,-225.0
Toronto Paramedic Services,AM-Community Paramedicine & Emergency Call Mitigation,Community Healthcare Outreach & Referral,User Fees & Donations,850A,Revenues,-106.26
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Contribution To Capital,505A,Expenses,3024.0
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Contribution To Reserves/Reserve Funds,510A,Expenses,393601.36
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Equipment,300A,Expenses,13168.08
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Inter-Divisional Charges,700A,Expenses,213961.2
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Inter-Divisional Recoveries,750A,Revenues,-1748.3
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Materials & Supplies,200A,Expenses,133834.37
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Other Expenditures,650A,Expenses,89.37
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Provincial Subsidies,805A,Revenues,-1016258.34
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Salaries And Benefits,100A,Expenses,1018767.74
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Service And Rent,400A,Expenses,125072.48
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Sundry and Other Revenues,940A,Revenues,-48981.61
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,Transfers From Capital,920A,Revenues,-675.0
Toronto Paramedic Services,AM-Emergency Medical Care,AM-City Emergency & Major Event Mass Casualty Care,User Fees & Donations,850A,Revenues,-615477.2
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Contribution To Capital,505A,Expenses,13608.0
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Contribution To Reserves/Reserve Funds,510A,Expenses,100327.77
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Equipment,300A,Expenses,15720.45
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Inter-Divisional Charges,700A,Expenses,202530.96
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Inter-Divisional Recoveries,750A,Revenues,-4273.63
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Materials & Supplies,200A,Expenses,204724.62
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Other Expenditures,650A,Expenses,196.62
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Provincial Subsidies,805A,Revenues,-3340188.22
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Salaries And Benefits,100A,Expenses,1042291.21
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Service And Rent,400A,Expenses,78681.91
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Sundry and Other Revenues,940A,Revenues,-4472.8
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,Transfers From Capital,920A,Revenues,-1650.0
Toronto Paramedic Services,AM-Emergency Medical Care,Critical Care Transport,User Fees & Donations,850A,Revenues,-6329.1
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Contribution To Capital,505A,Expenses,534228.0
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Contribution To Reserves/Reserve Funds,510A,Expenses,6193652.57
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Equipment,300A,Expenses,810629.8
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Inter-Divisional Charges,700A,Expenses,7111734.34
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Inter-Divisional Recoveries,750A,Revenues,-185320.23
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Materials & Supplies,200A,Expenses,5305741.56
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Other Expenditures,650A,Expenses,8651.01
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Provincial Subsidies,805A,Revenues,-91609455.46
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Salaries And Benefits,100A,Expenses,142043614.91
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Service And Rent,400A,Expenses,6428122.24
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Sundry and Other Revenues,940A,Revenues,-484783.27
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,Transfers From Capital,920A,Revenues,-71550.0
Toronto Paramedic Services,AM-Emergency Medical Care,Pre-Hospital Emergency Care,User Fees & Donations,850A,Revenues,-279011.34
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Contribution To Capital,505A,Expenses,43848.0
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Contribution To Reserves/Reserve Funds,510A,Expenses,137891.92
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Equipment,300A,Expenses,279741.19
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Inter-Divisional Charges,700A,Expenses,1914009.94
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Inter-Divisional Recoveries,750A,Revenues,-115868.12
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Materials & Supplies,200A,Expenses,342425.14
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Provincial Subsidies,805A,Revenues,-25823271.06
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Salaries And Benefits,100A,Expenses,21416646.21
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Service And Rent,400A,Expenses,2502687.75
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,Sundry and Other Revenues,940A,Revenues,-2352.07
Toronto Paramedic Services,Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,User Fees & Donations,850A,Revenues,-8500.8
Toronto Parking Authority,Bike Share,Bike Share,Contribution From Reserves/Reserve Funds,930A,Revenues,-78000.04
Toronto Parking Authority,Bike Share,Bike Share,Service And Rent,400A,Expenses,913100.04
Toronto Parking Authority,Bike Share,Bike Share,Sundry and Other Revenues,940A,Revenues,-835100.04
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Equipment,300A,Expenses,4902088.0
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Materials & Supplies,200A,Expenses,4070987.04
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Other Expenditures,650A,Expenses,18842263.0
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Salaries And Benefits,100A,Expenses,21507046.0
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Service And Rent,400A,Expenses,20857523.0
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,Sundry and Other Revenues,940A,Revenues,-3990020.0
Toronto Parking Authority,Off-Street Parking,Off-Street Parking,User Fees & Donations,850A,Revenues,-83826861.0
Toronto Parking Authority,On-Street Parking,On-Street Parking,Equipment,300A,Expenses,2396897.04
Toronto Parking Authority,On-Street Parking,On-Street Parking,Materials & Supplies,200A,Expenses,5368187.04
Toronto Parking Authority,On-Street Parking,On-Street Parking,Other Expenditures,650A,Expenses,-1.0
Toronto Parking Authority,On-Street Parking,On-Street Parking,Salaries And Benefits,100A,Expenses,2671619.0
Toronto Parking Authority,On-Street Parking,On-Street Parking,Service And Rent,400A,Expenses,3212940.04
Toronto Parking Authority,On-Street Parking,On-Street Parking,User Fees & Donations,850A,Revenues,-48258375.0
Toronto Police Service,Toronto Police Service,Toronto Police Service,Contribution From Reserves/Reserve Funds,930A,Revenues,-23652700.0
Toronto Police Service,Toronto Police Service,Toronto Police Service,Contribution To Reserves/Reserve Funds,510A,Expenses,38421888.53
Toronto Police Service,Toronto Police Service,Toronto Police Service,Equipment,300A,Expenses,2157799.96
Toronto Police Service,Toronto Police Service,Toronto Police Service,Inter-Divisional Charges,700A,Expenses,20240399.53
Toronto Police Service,Toronto Police Service,Toronto Police Service,Inter-Divisional Recoveries,750A,Revenues,-9336500.0
Toronto Police Service,Toronto Police Service,Toronto Police Service,Materials & Supplies,200A,Expenses,18518399.96
Toronto Police Service,Toronto Police Service,Toronto Police Service,Provincial Subsidies,805A,Revenues,-46664000.04
Toronto Police Service,Toronto Police Service,Toronto Police Service,Salaries And Benefits,100A,Expenses,1011506700.0
Toronto Police Service,Toronto Police Service,Toronto Police Service,Service And Rent,400A,Expenses,43303787.6
Toronto Police Service,Toronto Police Service,Toronto Police Service,User Fees & Donations,850A,Revenues,-47810700.0
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Contribution From Reserves/Reserve Funds,930A,Revenues,-750000.0
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Contribution To Capital,505A,Expenses,610599.96
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Equipment,300A,Expenses,900.0
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Inter-Divisional Charges,700A,Expenses,645400.0
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Materials & Supplies,200A,Expenses,7599.96
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Salaries And Benefits,100A,Expenses,963200.0
Toronto Police Services Board,Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,Service And Rent,400A,Expenses,821700.04
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Contribution To Reserves/Reserve Funds,510A,Expenses,219201.17
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Equipment,300A,Expenses,95498.48
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Federal Subsidies,810A,Revenues,-192161.4
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Inter-Divisional Charges,700A,Expenses,2525981.27
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Materials & Supplies,200A,Expenses,438817.38
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Other Expenditures,650A,Expenses,2876304.94
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Provincial Subsidies,805A,Revenues,-27080427.99
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Salaries And Benefits,100A,Expenses,28541306.19
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Service And Rent,400A,Expenses,3261484.34
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Sundry and Other Revenues,940A,Revenues,-1240.87
Toronto Public Health,Chronic Diseases & Injuries,Chronic Diseases & Injuries,Transfers From Capital,920A,Revenues,-195353.0
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Contribution To Reserves/Reserve Funds,510A,Expenses,25788.37
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Equipment,300A,Expenses,15420.96
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Inter-Divisional Charges,700A,Expenses,292962.92
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Materials & Supplies,200A,Expenses,17197.78
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Provincial Subsidies,805A,Revenues,-2324554.62
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Salaries And Benefits,100A,Expenses,2614865.17
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Service And Rent,400A,Expenses,171952.89
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Sundry and Other Revenues,940A,Revenues,-191.92
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,Transfers From Capital,920A,Revenues,-28370.5
Toronto Public Health,Emergency Preparedness,Emergency Preparedness,User Fees & Donations,850A,Revenues,-14235.74
Toronto Public Health,Environmental Health,Environmental Health,Contribution To Reserves/Reserve Funds,510A,Expenses,167624.43
Toronto Public Health,Environmental Health,Environmental Health,Equipment,300A,Expenses,195711.61
Toronto Public Health,Environmental Health,Environmental Health,Federal Subsidies,810A,Revenues,-88036.41
Toronto Public Health,Environmental Health,Environmental Health,Inter-Divisional Charges,700A,Expenses,1980567.1
Toronto Public Health,Environmental Health,Environmental Health,Inter-Divisional Recoveries,750A,Revenues,-10630.0
Toronto Public Health,Environmental Health,Environmental Health,Materials & Supplies,200A,Expenses,166531.46
Toronto Public Health,Environmental Health,Environmental Health,Other Expenditures,650A,Expenses,14000.0
Toronto Public Health,Environmental Health,Environmental Health,Provincial Subsidies,805A,Revenues,-17127577.0
Toronto Public Health,Environmental Health,Environmental Health,Salaries And Benefits,100A,Expenses,19621248.47
Toronto Public Health,Environmental Health,Environmental Health,Service And Rent,400A,Expenses,1844779.78
Toronto Public Health,Environmental Health,Environmental Health,Sundry and Other Revenues,940A,Revenues,-552.82
Toronto Public Health,Environmental Health,Environmental Health,Transfers From Capital,920A,Revenues,-365962.0
Toronto Public Health,Environmental Health,Environmental Health,User Fees & Donations,850A,Revenues,-950918.05
Toronto Public Health,Family Health,Family Health,Contribution To Reserves/Reserve Funds,510A,Expenses,361037.21
Toronto Public Health,Family Health,Family Health,Equipment,300A,Expenses,276465.69
Toronto Public Health,Family Health,Family Health,Inter-Divisional Charges,700A,Expenses,4430470.01
Toronto Public Health,Family Health,Family Health,Inter-Divisional Recoveries,750A,Revenues,-2856153.2
Toronto Public Health,Family Health,Family Health,Materials & Supplies,200A,Expenses,1124980.45
Toronto Public Health,Family Health,Family Health,Other Expenditures,650A,Expenses,2768276.94
Toronto Public Health,Family Health,Family Health,Provincial Subsidies,805A,Revenues,-66467315.74
Toronto Public Health,Family Health,Family Health,Salaries And Benefits,100A,Expenses,60996496.44
Toronto Public Health,Family Health,Family Health,Service And Rent,400A,Expenses,15929901.08
Toronto Public Health,Family Health,Family Health,Sundry and Other Revenues,940A,Revenues,-597601.08
Toronto Public Health,Family Health,Family Health,Transfers From Capital,920A,Revenues,-167715.0
Toronto Public Health,Infectious Diseases,Infectious Diseases,Contribution To Reserves/Reserve Funds,510A,Expenses,386825.59
Toronto Public Health,Infectious Diseases,Infectious Diseases,Equipment,300A,Expenses,292073.39
Toronto Public Health,Infectious Diseases,Infectious Diseases,Federal Subsidies,810A,Revenues,-3731.34
Toronto Public Health,Infectious Diseases,Infectious Diseases,Inter-Divisional Charges,700A,Expenses,4442438.28
Toronto Public Health,Infectious Diseases,Infectious Diseases,Materials & Supplies,200A,Expenses,1519562.05
Toronto Public Health,Infectious Diseases,Infectious Diseases,Provincial Subsidies,805A,Revenues,-47217753.36
Toronto Public Health,Infectious Diseases,Infectious Diseases,Salaries And Benefits,100A,Expenses,48494156.54
Toronto Public Health,Infectious Diseases,Infectious Diseases,Service And Rent,400A,Expenses,7956067.82
Toronto Public Health,Infectious Diseases,Infectious Diseases,Sundry and Other Revenues,940A,Revenues,-957367.04
Toronto Public Health,Infectious Diseases,Infectious Diseases,Transfers From Capital,920A,Revenues,-1429599.5
Toronto Public Health,Infectious Diseases,Infectious Diseases,User Fees & Donations,850A,Revenues,-40931.0
Toronto Public Health,Public Health Foundations,Public Health Foundations,Contribution To Reserves/Reserve Funds,510A,Expenses,128941.87
Toronto Public Health,Public Health Foundations,Public Health Foundations,Equipment,300A,Expenses,123305.55
Toronto Public Health,Public Health Foundations,Public Health Foundations,Federal Subsidies,810A,Revenues,-23500.0
